#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nivve.0.desc;This is a workaround event. The only reason this is here is to make Europa your de liege king. If this was not the case the game would crash when you entered the de jure kingdom mapmode. - Nivve;This is a workaround event. The only reason this is here is to make Europa your de liege king. If this was not the case the game would crash when you entered the de jure kingdom mapmode. - Nivve;This is a workaround event. The only reason this is here is to make Europa your de liege king. If this was not the case the game would crash when you entered the de jure kingdom mapmode. - Nivve;;This is a workaround event. The only reason this is here is to make Europa your de liege king. If this was not the case the game would crash when you entered the de jure kingdom mapmode. - Nivve;;;;;;;;;x
nivve.0.a;"""Continue my game!""";"""Continue my game!""";"""Continue my game!""";;"""Continue my game!""";;;;;;;;;x
nivve.0.tool;If this mod works, Europa is now the de jure kingdom of your duchy;If this mod works, Europa is now the de jure kingdom of your duchy;If this mod works, Europa is now the de jure kingdom of your duchy;;If this mod works, Europa is now the de jure kingdom of your duchy;;;;;;;;;x
nivve.1.desc;Population shift effects are now lowered;Population shift effects are now lowered;Population shift effects are now lowered;;Population shift effects are now lowered;;;;;;;;;x
nivve.1.a;Too bad...;Too bad...;Too bad...;;Too bad...;;;;;;;;;x
nivve.1.tool;-;-;-;;-;;;;;;;;;x
nivve.2.desc;Your previously assigned de jure liege is correctly set. This can be your liege, but it can also be yourself in case of your demesne.;Your previously assigned de jure liege is correctly set. This can be your liege, but it can also be yourself in case of your demesne.;Your previously assigned de jure liege is correctly set. This can be your liege, but it can also be yourself in case of your demesne.;;Your previously assigned de jure liege is correctly set. This can be your liege, but it can also be yourself in case of your demesne.;;;;;;;;;x
nivve.2.a;thanks...;thanks...;thanks...;;thanks...;;;;;;;;;x
nivve.2.b;I think there was a mistake...;I think there was a mistake...;I think there was a mistake...;;I think there was a mistake...;;;;;;;;;x
nivve.2.atool;test;test;test;;test;;;;;;;;;x
nivve.2.btool;test;test;test;;test;;;;;;;;;x
nivve.3.desc;Your Duke title will be retracted and you will have to start as a count.;Your Duke title will be retracted and you will have to start as a count.;Your Duke title will be retracted and you will have to start as a count.;;Your Duke title will be retracted and you will have to start as a count.;;;;;;;;;x
nivve.3.a;...3..2..1.. BOOM;...3..2..1.. BOOM;...3..2..1.. BOOM;;...3..2..1.. BOOM;;;;;;;;;x
nivve.3.tool;;;;;;;;;;;;;;x
nivve.4.desc;Your whole realm is surrounded by sea. As proud owner of all land in sight, you are able to declare yourself a true duke!;Your whole realm is surrounded by sea. As proud owner of all land in sight, you are able to declare yourself a true duke!;Your whole realm is surrounded by sea. As proud owner of all land in sight, you are able to declare yourself a true duke!;;Your whole realm is surrounded by sea. As proud owner of all land in sight, you are able to declare yourself a true duke!;;;;;;;;;x
nivve.4.a;Isolation!;Isolation!;Isolation!;;Isolation!;;;;;;;;;x
nivve.4.tool;;;;;;;;;;;;;;x
nivve.5.desc;;;;;;;;;;;;;;x
nivve.5.a;;;;;;;;;;;;;;x
nivve.5.b;;;;;;;;;;;;;;x
nivve.6.desc;Due to population shifts your capital gains more recruits.;Due to population shifts your capital gains more recruits.;Due to population shifts your capital gains more recruits.;;Due to population shifts your capital gains more recruits.;;;;;;;;;x
nivve.6.a;Good to hear!;Good to hear!;Good to hear!;;Good to hear!;;;;;;;;;x
nivve.6.tool;;;;;;;;;;;;;;x
nivve.7.desc;[From.GetName]\n\n Our neighbouring province is in decline.;[From.GetName]\n\n Our neighbouring province is in decline.;[From.GetName]\n\n Our neighbouring province is in decline.;;[From.GetName]\n\n Our neighbouring province is in decline.;;;;;;;;;x
nivve.7.a;Onwards!;Onwards!;Onwards!;;Onwards!;;;;;;;;;x
nivve.7.tool;;;;;;;;;;;;;;x
nivve.8.desc;[From.GetName]\n\n Succesful trade across our realms granted popular support for the neighbouring duke to be the ruler of our province!;[From.GetName]\n\n Succesful trade across our realms granted popular support for the neighbouring duke to be the ruler of our province!;[From.GetName]\n\n Succesful trade across our realms granted popular support for the neighbouring duke to be the ruler of our province!;;[From.GetName]\n\n Succesful trade across our realms granted popular support for the neighbouring duke to be the ruler of our province!;;;;;;;;;x
nivve.8.a;But... [From.GetName] is mine!;But... [From.GetName] is mine!;But... [From.GetName] is mine!;;But... [From.GetName] is mine!;;;;;;;;;x
nivve.8.tool;;;;;;;;;;;;;;x
nivve.9.desc;[From.GetName]\n\n Trade between my province of [Root.GetName] and the province of [From.GetName] resulted in popular support for my rule over both provinces.;[From.GetName]\n\n Trade between my province of [Root.GetName] and the province of [From.GetName] resulted in popular support for my rule over both provinces.;[From.GetName]\n\n Trade between my province of [Root.GetName] and the province of [From.GetName] resulted in popular support for my rule over both provinces.;;[From.GetName]\n\n Trade between my province of [Root.GetName] and the province of [From.GetName] resulted in popular support for my rule over both provinces.;;;;;;;;;x
