d_holland;Holland;Hollande;Holland;;Holanda;;;;;;;;;x
d_holland_adj;Hollander;Hollandaise;Holländischer;;Holandés;;;;;;;;;x
k_holland;Holland;Hollande;Holland;;Holanda;;;;;;;;;x
k_holland_adj;Hollander;Hollandaise;Holländischer;;Holandés;;;;;;;;;x
e_holland;Hollander Empire;Hollande;Holland;;Holanda;;;;;;;;;x
e_holland_adj;Hollander;Hollandaise;Holländischer;;Holandés;;;;;;;;;x
d_sticht;Sticht;Sticht;Sticht;;Sticht;;;;;;;;;x
d_sticht_adj;Stichtian;Stichtienne;Stichter;;Stichtianés;;;;;;;;;x
k_sticht;Sticht;Sticht;Sticht;;Sticht;;;;;;;;;x
k_sticht_adj;Stichtian;Stichtienne;Stichter;;Stichtianés;;;;;;;;;x
e_sticht;Stichtian Empire;Sticht;Sticht;;Sticht;;;;;;;;;x
e_sticht_adj;Stichtian;Stichtienne;Stichter;;Stichtianés;;;;;;;;;x
d_westfriesland;Westfriesland;Frise Occidentale;Westfriesland;;Westfriesland;;;;;;;;;x
d_westfriesland_adj;Westfrieslander;Frisie Occidentale;Westfriesischer;;Frisio;;;;;;;;;x
k_westfriesland;Westfriesland;Frise Occidentale;Westfriesland;;Westfriesland;;;;;;;;;x
k_westfriesland_adj;Westfrieslander;Frisie Occidentale;Westfriesischer;;Frisio;;;;;;;;;x
e_westfriesland;Westfrieslander Empire;Frise Occidentale;Westfriesland;;Westfriesland;;;;;;;;;x
e_westfriesland_adj;Westfrieslander;Frisie Occidentale;Westfriesischer;;Frisio;;;;;;;;;x
d_zeeland;Zeeland;Zeeland;Zeeland;;Zeeland;;;;;;;;;x
d_zeeland_adj;Zeelander;Zélandaise;Zeelander;;Zelandés;;;;;;;;;x
k_zeeland;Zeeland;Zeeland;Zeeland;;Zeeland;;;;;;;;;x
k_zeeland_adj;Zeelander;Zélandaise;Zeelander;;Zelandés;;;;;;;;;x
e_zeeland;Zeelander Empire;Zeeland;Zeeland;;Zeeland;;;;;;;;;x
e_zeeland_adj;Zeelander;Zélandaise;Zeelander;;Zelandés;;;;;;;;;x
d_gelre;Gelre;Gueldre;Gelre;;Gelre;;;;;;;;;x
d_gelre_adj;Gelrian;Gueldrienne;Gelrischer;;Gelrianés;;;;;;;;;x
k_gelre;Gelre;Gueldre;Gelre;;Gelre;;;;;;;;;x
k_gelre_adj;Gelrian;Gueldrienne;Gelrischer;;Gelrianés;;;;;;;;;x
e_gelre;Gelrian Empire;Gueldre;Gelre;;Gelre;;;;;;;;;x
e_gelre_adj;Gelrian;Gueldrienne;Gelrischer;;Gelrianés;;;;;;;;;x
d_ostfriesland;Ostfriesland;Frise orientale;Ostfriesland;;Ostfriesland;;;;;;;;;x
d_ostfriesland_adj;Ostfrieslander;Frisie Orientale;Ostfriesischer;;Ostfrieslandés;;;;;;;;;x
k_ostfriesland;Ostfriesland;Frise orientale;Ostfriesland;;Ostfriesland;;;;;;;;;x
k_ostfriesland_adj;Ostfrieslander;Frisie Orientale;Ostfriesischer;;Ostfrieslandés;;;;;;;;;x
e_ostfriesland;Ostfrieslander Empire;Frise orientale;Ostfriesland;;Ostfriesland;;;;;;;;;x
e_ostfriesland_adj;Ostfrieslander;Frisie Orientale;Ostfriesischer;;Ostfrieslandés;;;;;;;;;x
d_frisia;Friesland;Frise;Friesland;;Friesland;;;;;;;;;x
d_frisia_adj;Frisian;Frisonne;Friesischer;;Frisio;;;;;;;;;x
k_frisia;Friesland;Frise;Friesland;;Friesland;;;;;;;;;x
k_frisia_adj;Frisian;Frisonne;Friesischer;;Frisio;;;;;;;;;x
e_frisia;Frisian Empire;Frise;Friesland;;Friesland;;;;;;;;;x
e_frisia_adj;Frisian;Frisonne;Friesischer;;Frisio;;;;;;;;;x
d_brabant;Brabant;Brabant;Brabant;;Brabante;;;;;;;;;x
d_brabant_adj;Brabantian;Brabantoise;Brabantischer;;Brabanzón;;;;;;;;;x
k_brabant;Brabant;Brabant;Brabant;;Brabante;;;;;;;;;x
k_brabant_adj;Brabantian;Brabantoise;Brabantischer;;Brabanzón;;;;;;;;;x
e_brabant;Brabantian Empire;Brabant;Brabant;;Brabante;;;;;;;;;x
e_brabant_adj;Brabantian;Brabantoise;Brabantischer;;Brabanzón;;;;;;;;;x
d_hainaut;Hainaut;Hainaut;Hainaut;;Henao;;;;;;;;;x
d_hainaut_adj;Hainautian;Hainautoise;Hainautischer;;Hainautianés;;;;;;;;;x
k_hainaut;Hainaut;Hainaut;Hainaut;;Henao;;;;;;;;;x
k_hainaut_adj;Hainautian;Hainautoise;Hainautischer;;Hainautianés;;;;;;;;;x
e_hainaut;Hainautian Empire;Hainaut;Hainaut;;Henao;;;;;;;;;x
e_hainaut_adj;Hainautian;Hainautoise;Hainautischer;;Hainautianés;;;;;;;;;x
d_breda;Breda;Bréda;Breda;;Breda;;;;;;;;;x
d_breda_adj;Bredian;Brédoise;Bredischer;;Brenés;;;;;;;;;x
k_breda;Breda;Bréda;Breda;;Breda;;;;;;;;;x
k_breda_adj;Bredian;Brédoise;Bredischer;;Brenés;;;;;;;;;x
e_breda;Bredian Empire;Bréda;Breda;;Breda;;;;;;;;;x
e_breda_adj;Bredian;Brédoise;Bredischer;;Brenés;;;;;;;;;x
d_artois;Artois;Artois;Artois;;Artois;;;;;;;;;x
k_artois;Artois;Artois;Artois;;Artois;;;;;;;;;x
e_artois;Artois;Artois;Artois;;Artois;;;;;;;;;x
d_boulogne;Boulogne;Boulogne;Boulogne;;Boloña;;;;;;;;;x
d_boulogne_adj;Boulognian;Boulonnaise;Boulogner;;Boloñés;;;;;;;;;x
k_boulogne;Boulogne;Boulogne;Boulogne;;Boloña;;;;;;;;;x
k_boulogne_adj;Boulognian;Boulonnaise;Boulogner;;Boloñés;;;;;;;;;x
e_boulogne;Boulognian Empire;Boulogne;Boulogne;;Boloña;;;;;;;;;x
e_boulogne_adj;Boulognian;Boulonnaise;Boulogner;;Boloñés;;;;;;;;;x
d_guines;Guines;Guînes;Guines;;Güines;;;;;;;;;x
d_guines_adj;Guinesian;Guînoise;Guineser;;Guinense;;;;;;;;;x
k_guines;Guines;Guînes;Guines;;Güines;;;;;;;;;x
k_guines_adj;Guinesian;Guînoise;Guineser;;Guinense;;;;;;;;;x
e_guines;Guinesian Empire;Guînes;Guines;;Güines;;;;;;;;;x
e_guines_adj;Guinesian;Guînoise;Guineser;;Guinense;;;;;;;;;x
d_yperen;Yperen;Ypres;Ypern;;Yperen;;;;;;;;;x
d_yperen_adj;Yperenian;Yproise;Ypern-;;Ypereniano;;;;;;;;;x
k_yperen;Yperen;Ypres;Ypern;;Yperen;;;;;;;;;x
k_yperen_adj;Yperenian;Yproise;Ypern-;;Ypereniano;;;;;;;;;x
e_yperen;Yperenian Empire;Ypres;Ypern;;Yperen;;;;;;;;;x
e_yperen_adj;Yperenian;Yproise;Ypern-;;Ypereniano;;;;;;;;;x
d_brugge;Brugge;Bruges;Brugge;;Brujas;;;;;;;;;x
d_brugge_adj;Bruggian;Brugeoise;Brügger;;Brugense;;;;;;;;;x
k_brugge;Brugge;Bruges;Brugge;;Brujas;;;;;;;;;x
k_brugge_adj;Bruggian;Brugeoise;Brügger;;Brugense;;;;;;;;;x
e_brugge;Bruggian Empire;Bruges;Brugge;;Brujas;;;;;;;;;x
e_brugge_adj;Bruggian;Brugeoise;Brügger;;Brugense;;;;;;;;;x
d_gent;Gent;Gand;Gent;;Gante;;;;;;;;;x
d_gent_adj;Gentian;Gantoise;Genter;;Gantés;;;;;;;;;x
k_gent;Gent;Gand;Gent;;Gante;;;;;;;;;x
k_gent_adj;Gentian;Gantoise;Genter;;Gantés;;;;;;;;;x
e_gent;Gentian Empire;Gand;Gent;;Gante;;;;;;;;;x
e_gent_adj;Gentian;Gantoise;Genter;;Gantés;;;;;;;;;x
d_luxembourg;Luxembourg;Luxembourg;Luxembourg;;Luxemburgo;;;;;;;;;x
d_luxembourg_adj;Luxembourgian;Luxembourgeoise;Luxemburgischer;;Luxemburgués;;;;;;;;;x
k_luxembourg;Luxembourg;Luxembourg;Luxembourg;;Luxemburgo;;;;;;;;;x
k_luxembourg_adj;Luxembourgian;Luxembourgeoise;Luxemburgischer;;Luxemburgués;;;;;;;;;x
e_luxembourg;Luxembourgian Empire;Luxembourg;Luxembourg;;Luxemburgo;;;;;;;;;x
e_luxembourg_adj;Luxembourgian;Luxembourgeoise;Luxemburgischer;;Luxemburgués;;;;;;;;;x
d_liege;Liege;Liège;Lüttich;;Lieja;;;;;;;;;x
